super_category,prompt,category,count
color,Image of color which is a sign of bad luck' — Top 100 matches:,Brown,27
color,Image of color which is a sign of bad luck' — Top 100 matches:,Black,23
color,Image of color which is a sign of bad luck' — Top 100 matches:,Green,16
color,Image of color which is a sign of bad luck' — Top 100 matches:,Red,16
color,Image of color which is a sign of bad luck' — Top 100 matches:,White,6
color,Image of color which is a sign of bad luck' — Top 100 matches:,Purple,4
color,Image of color which is a sign of bad luck' — Top 100 matches:,Blue,3
color,Image of color which is a sign of bad luck' — Top 100 matches:,Orange,3
color,Image of color which is a sign of bad luck' — Top 100 matches:,Yellow,2
color,Image of color which is a sign of good luck' — Top 100 matches:,Green,49
color,Image of color which is a sign of good luck' — Top 100 matches:,Brown,18
color,Image of color which is a sign of good luck' — Top 100 matches:,Purple,10
color,Image of color which is a sign of good luck' — Top 100 matches:,Blue,7
color,Image of color which is a sign of good luck' — Top 100 matches:,White,7
color,Image of color which is a sign of good luck' — Top 100 matches:,Yellow,5
color,Image of color which is a sign of good luck' — Top 100 matches:,Red,3
color,Image of color which is a sign of good luck' — Top 100 matches:,Orange,1
color,Image of color which is a sign of illness' — Top 100 matches:,Black,28
color,Image of color which is a sign of illness' — Top 100 matches:,White,24
color,Image of color which is a sign of illness' — Top 100 matches:,Blue,11
color,Image of color which is a sign of illness' — Top 100 matches:,Brown,9
color,Image of color which is a sign of illness' — Top 100 matches:,Red,8
color,Image of color which is a sign of illness' — Top 100 matches:,Orange,7
color,Image of color which is a sign of illness' — Top 100 matches:,Purple,7
color,Image of color which is a sign of illness' — Top 100 matches:,Yellow,5
color,Image of color which is a sign of illness' — Top 100 matches:,Green,1
color,Image of color which is a sign of loss' — Top 100 matches:,Blue,27
color,Image of color which is a sign of loss' — Top 100 matches:,Purple,22
color,Image of color which is a sign of loss' — Top 100 matches:,Orange,14
color,Image of color which is a sign of loss' — Top 100 matches:,Red,14
color,Image of color which is a sign of loss' — Top 100 matches:,Brown,7
color,Image of color which is a sign of loss' — Top 100 matches:,Green,6
color,Image of color which is a sign of loss' — Top 100 matches:,Black,4
color,Image of color which is a sign of loss' — Top 100 matches:,White,3
color,Image of color which is a sign of loss' — Top 100 matches:,Yellow,3
color,Image of color which is a sign of prosperity' — Top 100 matches:,Yellow,26
color,Image of color which is a sign of prosperity' — Top 100 matches:,Black,20
color,Image of color which is a sign of prosperity' — Top 100 matches:,White,13
color,Image of color which is a sign of prosperity' — Top 100 matches:,Purple,10
color,Image of color which is a sign of prosperity' — Top 100 matches:,Blue,7
color,Image of color which is a sign of prosperity' — Top 100 matches:,Orange,7
color,Image of color which is a sign of prosperity' — Top 100 matches:,Red,7
color,Image of color which is a sign of prosperity' — Top 100 matches:,Brown,6
color,Image of color which is a sign of prosperity' — Top 100 matches:,Green,4
color,Image of color which is a sign of wealth' — Top 100 matches:,Orange,26
color,Image of color which is a sign of wealth' — Top 100 matches:,Purple,20
color,Image of color which is a sign of wealth' — Top 100 matches:,Brown,12
color,Image of color which is a sign of wealth' — Top 100 matches:,Red,12
color,Image of color which is a sign of wealth' — Top 100 matches:,Yellow,11
color,Image of color which is a sign of wealth' — Top 100 matches:,Blue,10
color,Image of color which is a sign of wealth' — Top 100 matches:,White,5
color,Image of color which is a sign of wealth' — Top 100 matches:,Green,4
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Lightning_Strike_thunderstorm,56
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Solar_Eclipse,12
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Gentle_Rain,11
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Cloudy_Sky,9
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Full_Moon,4
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Rainbow,3
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Sunny_Day,3
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Shooting_Star,2
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Sunny_Day,42
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Foggy_Morning,26
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Rainbow,10
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Gentle_Rain,7
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Cloudy_Sky,6
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Snowfall,6
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Shooting_Star,2
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Solar_Eclipse,1
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Gentle_Rain,30
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Solar_Eclipse,14
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Shooting_Star,12
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Foggy_Morning,11
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Cloudy_Sky,10
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Snowfall,8
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Full_Moon,7
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Rainbow,3
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Sunny_Day,3
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Lightning_Strike_thunderstorm,2
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Full_Moon,28
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Gentle_Rain,20
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Foggy_Morning,13
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Rainbow,11
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Lightning_Strike_thunderstorm,9
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Shooting_Star,6
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Solar_Eclipse,5
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Sunny_Day,4
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Snowfall,3
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Cloudy_Sky,1
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Gentle_Rain,35
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Shooting_Star,25
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Rainbow,15
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Lightning_Strike_thunderstorm,9
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Full_Moon,8
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Snowfall,5
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Sunny_Day,2
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Foggy_Morning,1
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Shooting_Star,25
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Gentle_Rain,20
