prompt,super_category,category,filename,img_path,score
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000059.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000059.jpg,0.22
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000019.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000019.jpg,0.21
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000068.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000068.jpg,0.21
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000044.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000044.jpg,0.21
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000100.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000100.jpg,0.21
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000088.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000088.jpg,0.21
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000010.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000010.jpg,0.21
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000099.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000099.jpg,0.21
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000065.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000065.jpg,0.21
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000027.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000027.jpg,0.21
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000048.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000048.jpg,0.21
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000094.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000094.jpg,0.21
